inputSeq,outputSeq
meteorologists began express concern storm moving area ,Meteorologists began to express their concern about a storm moving into the area.
looking excited expression daughters face donna happy could make little girls dreams come true ,"Looking at the excited expression on her daughters face, Donna was happy that she could make her little girls dreams come true."
the expressive dance routine added boring show give animated touch ,The expressive dance routine was added to the boring show to give an animated touch.
the regulations entry expressly clearly stated rulebook ,The regulations for entry are expressly and clearly stated in the rulebook.
the pirates made living able expropriate property others happened upon ,The pirates made their living by being able to expropriate the property of others they happened upon.
since henry hated school threat expulsion make behave ,"Since Henry hated school, the threat of expulsion did not make him behave."
i would like expunge exhusband memory ,I would like to expunge my ex-husband from my memory.
the rapper told expurgate offensive lyrics new song would never played radio ,"The rapper was told that if he did not expurgate the offensive lyrics from his new song, it would never be played on the radio."
she wore exquisite dress left guests staring surprise ,"She wore an exquisite dress, which left all the guests staring in surprise."
the extant writings ancient philosopher still quite popular philosophy students ,The extant writings of the ancient philosopher are still quite popular with philosophy students.
instead giving prepared speech minister delivered extemporaneous statement recent terrorist attacks ,"Instead of giving his prepared speech, the minister delivered an extemporaneous statement about the recent terrorist attacks."
an extempore meeting called without notice terminate employees hadnt lived performance standards ,An extempore meeting was called without notice to terminate employees who hadnt lived up to performance standards.
the pianist able extemporize play piece without music preparation ,The pianist was able to extemporize and play a piece without music or preparation.
the procrastinating students requested professor extend deadline essay ,The procrastinating students requested for the professor to extend the deadline for the essay.
since plug across room toby needed extension cord could reach computer ,"Since the plug was across the room, Toby needed an extension so the cord could reach his computer."
it take several months city clean extensive damage caused hurricane ,It will take several months for the city to clean up the extensive damage caused by the hurricane.
having toured area extensively man felt lot background knowledge needed amsterdam ,"Having toured the area extensively, the man felt that he had a lot of background knowledge on what was needed in Amsterdam."
no one knew extent sons injury since school gave minute details happened playground ,No one knew the extent of her sons injury since the school only gave minute details of what happened on the playground.
the womans troubled childhood wasnt enough extenuate excuse killing husband ,The womans troubled childhood wasnt enough to extenuate or excuse her of killing her husband.
the court reduced criminals sentence extenuating circumstances ,The court reduced the criminals sentence because of extenuating circumstances.
when i noticed chipped paint exterior house i hired professional paint outer part house ,"When I noticed the chipped paint on the exterior of my house, I hired a professional to paint the outer part of my house."
needing help exterminate bugs pest control worker ordered specialized repellant ,"Needing help to exterminate the bugs, the pest control worker ordered specialized repellant."
when two children continued physically fight external conflict would cause parents get tired hearing bickering ,"When the two children continued to physically fight, this external conflict would cause their parents to get tired of hearing the bickering."
even though dinosaurs extinct people learn visiting museum ,"Even though dinosaurs are extinct, people can learn more about them by visiting a museum."
extinction species happened poachers killed many animals ,Extinction of the species happened after poachers killed many of the animals.
she learned way extinguish grease fire eliminate oxygen covering another pan pouring baking soda top ,She learned that the only way to extinguish a grease fire is to eliminate the oxygen by covering it with another pan or pouring baking soda on top.
hopefully pesticides extirpate insects garden ,Hopefully the pesticides will extirpate the insects from my garden.
because helen gina jealous sisters good fortune extol academic scholarship ,"Because Helen and Gina were jealous of their sisters good fortune, they did not extol her when she won the academic scholarship."
when larry fired attempted extort cash former boss threatening expose mans drug addiction ,"When Larry was fired, he attempted to extort cash from his former boss by threatening to expose the mans drug addiction."
the criminal committed extortion threatened hurt victims family didnt give money ,The criminal committed extortion when he threatened to hurt the victims family if she didnt give him money.
when dentist noticed infected tissue around patients gums knew would extract tooth ,"When the dentist noticed the infected tissue around his patient's gums, he knew he would have to extract the tooth."
the man paid extraction one tooth ended another one removed well ,The man paid for the extraction of just one tooth but ended up having another one removed as well.
the state soon extradite cal island nation wanted assaulting young girl ,The state will soon extradite Cal to the island nation where he is wanted for assaulting a young girl.
because many extraneous details instructions dad wasnt able put toy together time christmas morning ,"Because of so many extraneous details in the instructions, Dad wasnt able to put the toy together in time for Christmas morning."
that man extraordinaire someone goes remarkable adventures ludicrous amounts cash ,"That man is an extraordinaire, being someone that goes on remarkable adventures with his ludicrous amounts of cash."
henry extraordinary pianist played three presidents several royal families ,Henry is an extraordinary pianist who has played for three presidents and several royal families.
rick spent nearly years salary extravagant engagement ring ,Rick spent nearly a years salary on the extravagant engagement ring.
carnival venice italy annual extravaganza elaborate masks dancing music feasting lent ,"Carnival in Venice, Italy, is an annual extravaganza of elaborate masks, dancing, music, and feasting before Lent."
laura always takes arguments extreme quickly turns things physical ,Laura always takes arguments to the extreme and quickly turns things physical.
because extremist group isis fanatical religious views ,"Because they are an extremist group, ISIS has some very fanatical religious views."
who would ever thought patrick would go extremity jumping airplane propose michelle ,Who would have ever thought Patrick would go to the extremity of jumping out of an airplane to propose to Michelle?
if magician extricate water tank next fortyfive seconds die ,"If the magician does not extricate himself from the water tank in the next forty-five seconds, he will die."
we expect issues wedding date however weather turned extrinsic factor forced us change date ,"We did not expect there to be any issues with our wedding date, however the weather turned into an extrinsic factor that forced us to change the date."
because pat extrovert enjoys chatting others ideal talk show host ,"Because Pat is an extrovert who enjoys chatting with others, she is the ideal talk show host."
the volcano began extrude lava shooting hot liquid sides ,"The volcano began to extrude lava, shooting the hot liquid up and over its sides."
after lava cooled extrusive slabs rock scattered around outer edge volcano ,After the lava cooled extrusive slabs of rock were scattered around the outer edge of the volcano.
even though childrens choir trouble getting words songs right exuberance singing made it ,"Even though the childrens choir had trouble getting the words of the songs right, their exuberance in singing more than made up for it."
even though johnny good basketball player exuberant attitude came across one stars team ,"Even though Johnny was not a very good basketball player, he had such an exuberant attitude that he came across as one of the stars of the team."
as young man came dressed suit presented professionally exudation class apparent anyone room him ,"As the young man came dressed in a suit and presented himself professionally, the exudation of class was apparent to anyone who was in the same room with him."
after accomplishing much could help exude confidence himself ,"After accomplishing so much, he could not help but exude confidence in himself."
christians taught exult christ else ,Christians are taught to exult Christ above all else.
harrys feelings exultation intensified neared end prison term ,Harrys feelings of exultation intensified as he neared the end of his prison term.
many think channing tatum nothing eye candy hes actually talented dancer photographer well actor ,"Many think of Channing Tatum as nothing more than eye candy, but hes actually a talented dancer and photographer as well as an actor."
the casino eyesore community members hated looking neon lights ,The casino was an eyesore to the community members who hated looking at the neon lights.
in fable the tortoise hare see sometimes better take things slow steady really want success ,"In the fable ‘The Tortoise and the Hare, we see that sometimes it is better to take things slow and steady if we really want to have success."
the journalist got fired editor learned plan fabricate story president ,The journalist got fired when his editor learned of his plan to fabricate a story about the president.
the fabulist wrote tales talking animals living long ago ,The fabulist wrote tales about talking animals living long ago.
the amount money made fundraiser absolutely fabulous covering cost current project repaving school parking lot well ,"The amount of money we made during the fundraiser was absolutely fabulous, covering the cost of not only our current project, but the repaving of the school parking lot as well."
i often find putting facade im around troubled brother ,I often find myself putting up a facade when Im around my troubled brother.
the face table scratch ran way across top ,The face of the table had a scratch that ran all the way across the top.
beyond reasonable doubt� means must explore every facet case ,“Beyond a reasonable doubt” means that you must explore every facet of the case.
do always facetious ,Do you always have to be so facetious?
the actor read lines practiced facial expressions mirror ,The actor read his lines and practiced his facial expressions in the mirror.
while adults found video game complicated teenagers thought facile easily played ,"While the adults found the video game complicated, the teenagers thought it was facile and easily played."
the translator facilitate conversation immigrant attorney ,The translator will facilitate the conversation between the immigrant and the attorney.
due teachers facilitation skills class grade jumped making low ds as bs ,"Due to the teachers facilitation of the skills in her class, my grade jumped from making low Ds to As and Bs."
there facility available produce cupcakes continue working home ,"There is no facility available to produce our cupcakes, so we will have to continue working from home."
he offered facsimile original painting much discounted price ,He offered a facsimile of the original painting for a much discounted price.
my mother hid fact dad real father forty years ,My mother hid the fact that my dad was not my real father for more than forty years.
in novel heroine born faction population dedicated lives helping other ,"In the novel, the heroine was born into a faction of the population that dedicated their lives to helping each other."
when factious son gets mad one pals tries separate person group starting argument ,"When my factious son gets mad with one of his pals, he tries to separate the person from the group by starting an argument."
the high fuel consumption main factor deters buying vehicle ,The high fuel consumption is the main factor that deters me from buying the vehicle.
factory employees work monday friday making rubber stoppers go bathtubs ,Factory employees work Monday through Friday making the rubber stoppers that go in bathtubs.
after accomplishing every task womans list installing new sink babysitting children factotum proved worth earned pay day ,"After accomplishing every task on the womans list from installing a new sink to babysitting the children, the factotum proved his worth and earned his pay for the day."
that two plus two equals four completely factual statement one ever claim false ,"That two plus two equals four is a completely factual statement, and no one can ever claim it to be false."
my favorite member faculty school mr earhart teaches favorite class ,"My favorite member of the faculty here at school is Mr. Earhart, because he teaches my favorite class."
faculty pictures included students school yearbook ,Faculty pictures were included with the students in the school yearbook.
i dont care speed sensitive volume control feature car music fade i come complete stop ,I dont care for the speed sensitive volume control feature on my car because the music will fade when I come to a complete stop.
if crank heat 212 degrees fahrenheit water pot begin boil ,"If you crank the heat up to 212 degrees Fahrenheit, the water in the pot will begin to boil."
the fashion show failure models fell runway lighting work people showed watch event ,"The fashion show was a failure after the models fell off the runway, the lighting did not work and very few people showed up to watch the event."
although i diet i fain eat large slice cake ,"Although I was on a diet, I was fain to eat a large slice of cake."
because felt faint exhausted woman went lie while ,"Because she felt faint, the exhausted woman went to lie down for a while."
the fair judge always made decisions reasonable just ,The fair judge always made decisions that were in the reasonable and just.
many students loved english teacher due fairness treating student equal students ,Many students loved their English teacher due to her fairness by treating each student equal to the other students.
the golfer hit tee shot water past green fairway ,The golfer hit a tee shot over the water past the green fairway.
the low grade project fait accompli teacher saw reason alter ,The low grade on my project was a fait accompli the teacher saw no reason to alter.
after caught small lie citizens remained faithful mayor since done much good town could forgive small lie ,"After being caught in a small lie, the citizens remained faithful to the mayor since he had done so much good for their town and they could forgive a small lie."
an indian fakir roamed city begging alms help poor ,An Indian fakir roamed the city begging for alms from those who help the poor.
having money makes happy fallacy happiness nothing wealth ,Having money makes you happy is a fallacy because happiness has nothing to do with wealth.
i spent countless hours winter begins raking leaves fallen trees ,I spent countless hours before winter begins raking leaves that have fallen from trees.
even though fallible degree successful people learned rise weaknesses ,"Even though we are all fallible to some degree, the most successful people have learned how to rise above their weaknesses."
at end summer crowded beaches become fallow young people return school ,"At the end of summer, the once crowded beaches become fallow as the young people return to school."
false news filled internet tricking people believing lies ,"False news filled the internet, tricking people into believing lies."
despite fact henry viii told obvious falsehood wifes infidelity people england scared question king beheaded ,"Despite the fact that Henry VIII told an obvious falsehood about his wifes infidelity, the people of England were too scared to question the king and she was beheaded."
the young man sang high clear falsetto rivaled talented female singers ,"The young man sang in a high, clear falsetto that rivaled the most talented female singers."
knowing wrong falsify truth girl admitted losing assignment ,"Knowing it was wrong to falsify the truth, the girl admitted to losing her assignment."
a common historical falsity jews suffered hitlers reign marginalized groups persecuted well ,"A common historical falsity is that only Jews suffered under Hitlers reign, but other marginalized groups were persecuted as well."
when bank teller noticed masked man began falter slightly discreetly pressed silent alarm ,"When the bank teller noticed that the masked man began to falter slightly, she discreetly pressed the silent alarm."
children familial background likely follow similar career paths ,Children of the same familial background are likely to follow similar career paths.
mia familiar astrophysics reading textbooks subject learned quickly ,Mia wasn't familiar with the astrophysics but after reading a few textbooks on the subject she learned quickly.
having moved in i walked around familiarize neighborhood ,"Having just moved in, I walked around to familiarize myself with the neighborhood."
all family members look alike red hair freckled faces ,All of the family members look alike because of their red hair and freckled faces.
many people starved death famine ,Many people have starved to death because of the famine.
three days without anything eat enough famish lost campers ,Three days without anything to eat was enough to famish the lost campers.
the man eaten days i asked hungry responded saying im famished� ,"The man had not eaten for days, so when I asked if he was hungry he responded by saying “Im famished.”"
the chef became famous meals given cooking show ,The chef became so famous for her meals that she was given her own cooking show.
my husband exercise fanatic runs six miles every day ,My husband is an exercise fanatic who runs six miles every day.
richard fanatical beliefs preaching anyone listen ,"Richard is fanatical about his beliefs, preaching to anyone that will listen."
the followers cult displayed fanaticism drinking leaders blood ,The followers of the cult displayed their fanaticism by drinking their leaders blood.
the couple fancied night town got dressed called cab ,"The couple fancied a night out on the town, so they got dressed and called a cab."
because wild imagination loved create fanciful stories spare time ,"Because she had a wild imagination, she loved to create fanciful stories in her spare time."
the storyteller told fanciful tales talking mermaids fearless princesses ,The storyteller told fanciful tales about talking mermaids and fearless princesses.
i know fashionable dressing fancy schmancy suit tie eat mcdonalds excessive ,"I know you're fashionable, but dressing up in a fancy schmancy suit and tie to eat at McDonald's is excessive."
we fancy trip islands budget wont allow it ,"We fancy a trip to the islands, but our budget wont allow it."
the president received great deal fanfare announced plans immigration news spread word quickly ,"The President received a great deal of fanfare when he announced his plans on immigration, so the news spread word of it quickly."
the strong winds make fantastic day kite flying ,The strong winds make for a fantastic day of kite flying.
the womans reallife success story sounded like fantastical movie plot ,The womans real-life success story sounded like some fantastical movie plot.
when young i often found daughter kendra room withdrawn fantasy world ,"When she was young, I often found my daughter Kendra in her room withdrawn into her own fantasy world."
many argue government today mere farce started as ,Many argue that the government today is a mere farce of what it started out as.
critics described farcical play absurd piece writing could created intoxicated playwright ,Critics described the farcical play as an absurd piece of writing that could have only been created by an intoxicated playwright.
the airline fare set back eight hundred dollars ,The airline fare will set me back by eight hundred dollars.
tearful onlookers waved farewell departing soldiers heading afghanistan ,Tearful onlookers waved farewell to the departing soldiers heading to Afghanistan.
the idea losing team could come back win farfetched held hope ,"The idea that the losing team could come back and win was farfetched, but we held out hope."
the farouche canine growled snarled backed away trying capture it ,The farouche canine growled and snarled as he backed away from those trying to capture it.
the present gun law farrago nonsense unenforceable ,The present gun law is a farrago of nonsense as most of it is unenforceable.
we walk farther usual today construction work usual route school ,We have to walk farther than usual today because there was construction work on our usual route to school.
the idea president would strengthen middle class seemed fascinate listening speech ,The idea of a president that would strengthen the middle class seemed to fascinate those listening to the speech.
my fascination stars child led become astronomer later life i love studying stars learning them ,"My fascination with the stars as a child led me to become an astronomer later in life, as I just love studying those stars and learning more about them."
when mayor discussed possibility local curfew citizens immediately accused fascism ,"When the mayor discussed the possibility of a local curfew, the citizens immediately accused him of fascism."
the fascist regime taken area ruling city iron fist ,The fascist regime has taken over the area and is ruling the city with an iron fist.
it took much persuading convince aunt bellbottom jeans platform shoes longer fashionable ,It took much persuading to convince my aunt that her bell-bottom jeans and platform shoes are no longer fashionable.
people love go fast could experience greater thrill supersonic flight fighter jet ,People who love to go fast could experience no greater thrill than the supersonic flight of a fighter jet.
stuffing dinner table left man unable fasten belt got up ,Stuffing himself at the dinner table left the man unable to fasten his belt when he got up.
my mother fastidious woman always complaint lips ,My mother was a fastidious woman who always had a complaint on her lips.
people easily angered read another fat cat pharmaceutical ceo receives bonus public paying higher drug prices ,People are easily angered when they read that another fat cat Pharmaceutical CEO receives a bonus while the public is paying higher drug prices.
dropping fatal dose poison goblet evil queen smiled deathly elixir ,"Dropping a fatal dose of poison into the goblet, the evil queen smiled down at her deathly elixir."
as fatalist woman refused believe luck anything events life ,"As a fatalist, the woman refused to believe that luck had anything to do with the events in her life."
fatality rates motorcycle crashes 27 times automobiles ,Fatality rates for motorcycle crashes is over 27 times that of automobiles.
keith believes fated alcohol addiction mother alcoholic ,Keith believes he is fated to have an alcohol addiction because his mother was an alcoholic.
until fateful meeting martin luther king jr activist never knew impact nonviolent protests ,"Until the fateful meeting with Martin Luther King Jr., the activist never knew the impact of nonviolent protests."
although knew nothing caring children man threw fatherhood ,"Although he knew nothing about caring for children, the man threw himself into fatherhood."
since i always done work i cannot fathom boss fired me ,"Since I have always done my work, I cannot fathom why my boss just fired me."
the depths ocean seemed fathomless reaching deeper man could measure ,"The depths of the ocean seemed fathomless, reaching deeper than any man could measure."
during fifteenmile hike one hikers collapsed fatigue ,"During the fifteen-mile hike, one of the hikers collapsed from fatigue."
we enjoyed free cruise mandatory seminar fatiguing took lot time ,"We enjoyed the free cruise, but the mandatory seminar was fatiguing and took a lot of our time."
even 40s irresponsible man spent salary video games fatuity ,"Even in his 40s, the irresponsible man spent most of his salary on video games and other fatuity."
buying car without negotiating price fatuous move ,Buying a car without negotiating down the price is a fatuous move.
faulty wiring within kitchen walls sent house flames ,Faulty wiring within the kitchen walls sent the house into flames.
the forests fauna safeguarded local wildlife life protection laws ,The forests fauna are safeguarded by local wildlife life protection laws.
claire committed huge faux pas wore black cousins wedding ,Claire committed a huge faux pas when she wore black to her cousins wedding.
grandmother tended favor boys girls ,Grandmother tended to favor boys over girls.
favorable weather conditions brought tourists locals beach ,Favorable weather conditions brought both tourists and locals to the beach.
showing favoritism children caused mothers oldest son resent her ,Showing favoritism between her children caused the mothers oldest son to resent her.
it interesting watch greedy woman fawn wealthy old man ,It was interesting to watch the greedy woman fawn over the wealthy old man.
even female reporters smiling wildly fawning handsome actor ,Even the female reporters were smiling wildly and fawning over the handsome actor.
negative comments aimed politician faze nerves steel ,Negative comments aimed at the politician did not faze his nerves of steel.
when president took oath swore fealty nation ,"When the president took his oath, he swore fealty to the nation."
fearful airplane rides terrified passenger braced takeoff ,"Fearful of airplane rides, the terrified passenger braced herself for takeoff."
fearless face danger mala yousafzai spoke right girls educated ,"Fearless in the face of danger, Mala Yousafzai spoke up for the right of girls to be educated."
priding fearlessness neither brave warriors would retreat battle ,"Priding themselves on fearlessness, neither of the brave warriors would retreat from battle."
fearmongering media caused citizens fear nuclear war wasnt even looming ,Fearmongering by the media caused the citizens to fear a nuclear war that wasnt even looming.
few creatures american forests fearsome grizzly bear hulking beast massive teeth claws ,"Few creatures of the American forests are more fearsome than the Grizzly Bear, a hulking beast with massive teeth and claws."
driving eyes closed feasible ,Driving with your eyes closed is not feasible.
patrons brought enormous platters food large feast honor st joseph ,Patrons brought in enormous platters food for a large feast in honor of St. Joseph.
the man honored king learned feat ,The man was honored when the king learned of his feat.
the birds soft feather detached wing slowly floated ground ,The birds soft feather detached from its wing and slowly floated down to the ground.
the notable feature face piercing blue eyes vivid sky vast ,The most notable feature of his face was the piercing blue eyes that were as vivid as the sky itself and just as vast.
the mother gave febrile son acetaminophen bring body temperature ,The mother gave her febrile son acetaminophen to bring down his body temperature.
larry feckless manager company forced declare bankruptcy ,Larry was such a feckless manager that the company was forced to declare bankruptcy.
the computer programmer fecund person could quickly identify solve problems ,The computer programmer was a fecund person who could quickly identify and solve problems.
as volunteer days fed homeless rewarding ,"As a volunteer, the days when she fed the homeless were most rewarding."
the united states inherently federal government many separate yet unified states working together ,The United States is an inherently federal government with many separate yet unified states working together.
the federal court judge rule cases crimes government committed ,The federal court judge will rule on cases where crimes against the government were committed.
jake arrived early community walk event support fight stomp homelessness ,Jake arrived early at the community walk event to support the fight to stomp out homelessness.
my young daughter claims unicorn best friend thing clearly figment imagination ,"My young daughter claims to have a unicorn as a best friend, but such a thing is clearly a figment of her imagination."
if use figurative language speaking literally rather manner meant produce reaction ,"If you use figurative language, you are not speaking literally but rather in a manner meant to produce a reaction."
jim told judge spoke chopping scotts head meant figuratively physically ,"Jim told the judge that when he spoke of chopping off Scotts head, he meant it figuratively and not physically."
she pretty picture figure speech describes beauty lady ,She is as pretty as a picture is a figure of speech that describes the beauty of the lady.
when freda wants eat uses figure speech im hungry horse� ,"When Freda wants to eat, she uses the figure of speech “Im as hungry a horse.”"
the pickpocket able filch three wallets subway ,The pickpocket was able to filch three wallets while on the subway.
frank filial affection uncle raised him ,Frank has a filial affection for the uncle who raised him.
the senator filibuster prevent vote bill ,The senator will filibuster to prevent a vote on the bill.
when man went purchase gift mothers day chose silver filigree necklace ,"When the man went to purchase a gift for mothers day, he chose a silver filigree necklace."
readers digest magazine uses unique jokes filler often pay readers use them ,Readers Digest magazine uses unique jokes for a filler and will often pay their readers for the use of them.
because never cleans filthy home lazy housewifes house caked dirt ,"Because she never cleans her filthy home, the lazy housewifes house is caked in dirt."
in order finagle getting candy father dinner little boy explained dad mom serving dinner much later time ,"In order to finagle getting the candy from his father before dinner, the little boy explained to his dad that mom was serving dinner at a much later time."
i edge seat last night watching finale favorite television show ,I was on the edge of my seat last night while watching the finale of my favorite television show.
i could stop crying i realized graduation finality high school life ,I could not stop crying when I realized graduation was the finality of my high school life.
a politician truly interested particular cause finance cause money ,A politician that is truly interested in a particular cause will finance that cause with their own money.
because financial problems struggling family longer waste money things like going eat movies ,"Because of financial problems, the struggling family can no longer waste money on things like going out to eat or to the movies."
the evening dress designers finery sold several thousand dollars highend shop ,The evening dress designers finery is sold for several thousand dollars each in her high-end shop.
the chess champion played game finesse allowed easily beat players ,The chess champion played the game with a finesse that allowed him to easily beat all the other players.
after analyzing fingerprint left crime scene detective jones determined left criminal put naked hand table ,"After analyzing the fingerprint that was left at the crime scene, Detective Jones determined that it was left by the criminal when he put his naked hand on the table."
the finicky toddler refuses eat anything chicken strips french fries ,The finicky toddler refuses to eat anything other than chicken strips and French fries.
on school days kathleen needs finish homework playing outside ,"On school days, Kathleen needs to finish her homework before playing outside."
they finite amount gas turn generator day ,"They had only a finite amount of gas, which is why they had to turn the generator off during the day."
because labeled firebrand protester allowed attend rally ,"Because he was labeled a firebrand, the protester was not allowed to attend the rally."
the firm steelrod could broken except intense pressure ,The firm steel-rod could not be broken except under intense pressure.
according many versions religious scripture god molded man firmament sky placed earth ,"According to many versions of religious scripture, God molded man from the firmament of the sky and placed him on Earth."
first foremost security guards required make sure everyone safe bank robber trying subdue robber ,"First and foremost, security guards are required to make sure everyone is safe during a bank robber before trying to subdue the robber."
first all need pray children killed bomb blast� priest said congregation prayed problems ,"“First of all, we need to pray for the children killed in the bomb blast,” the priest said to the congregation and then they prayed for all the other problems."
survivors plane crash gave firsthand accounts news reporter released hospital ,Survivors of the plane crash gave firsthand accounts to the news reporter once they were released from the hospital.
my daughter lacks sense fiscal duty rarely pays bills time ,My daughter lacks a sense of fiscal duty and rarely pays her bills on time.
nuclear fission made separating one atom combining two different atoms ,Nuclear fission is made by separating one atom or combining two different atoms.
the homeowners dismayed discover fissure foundation home ,The homeowners were dismayed to discover a fissure in the foundation of their home.
while two men outside engaging fisticuffs woman fighting left bar another man ,"While the two men were outside engaging in fisticuffs, the woman they were fighting over left the bar with another man."
jim tired woke fitful night sleep ,Jim was tired when he woke up after a fitful night of sleep.
fitness important part life making sure body stays healthy live longer happier life ,"Fitness is an important part of your life, making sure your body stays healthy so you can live a longer and happier life."
the stalker completely fixated actress ,The stalker was completely fixated on the actress.
replacing brass light fixture old house installing modern ceiling fan made house look newer ,Replacing the brass light fixture in the old house by installing a modern ceiling fan made the house look newer.
the playful fizgig threw man bar took notice her ,The playful fizgig threw herself at any man at the bar who took notice of her.
karens johns argument money began fizzle bonus check arrived mail ,Karens and Johns argument about money began to fizzle out when a bonus check just arrived in the mail.
sailing proved difficult expert boaters tried cruise fjord without hitting rocky sides ,Sailing proved difficult for the expert boaters when they tried to cruise through the fjord without hitting the rocky sides.
as single mother tight budget i flabbergasted huge cost video games ,"As a single mother on a tight budget, I am flabbergasted by the huge cost of video games."
the flaccid wind stir chimes front porch ,The flaccid wind did not stir the chimes on the front porch.
american citizens feared courts would flagellate vandalizing cars singapore leaving strap marks backs ,American citizens feared the courts would flagellate them for vandalizing cars in Singapore leaving strap marks on their backs.
biologists analyzed flagellum powerful microscope determine provided assistance cells function ,Biologists analyzed the flagellum under a powerful microscope to determine if it provided assistance to a cells function.
the mans flagging business verge closing doors forever ,The mans flagging business is now on the verge of closing its doors forever.
every student would avoid walking near flagitious bully due abusive words violent actions ,Every student would avoid walking near the flagitious bully due to his abusive words and violent actions.
after basketball player committed flagrant foul kicked game ,"After the basketball player committed a flagrant foul, he was kicked out of the game."
the commander boarded flagship prepared maiden voyage ,The commander boarded the flagship and prepared for its maiden voyage.
the chains flagship store sells hamburgers location ,The chains flagship store sells more hamburgers than any other location.
when petes daughter ran middle street flail arms get cars stop ,"When Petes daughter ran out into the middle of the street, he had to flail his arms to get the cars to stop."
her flailing sign flapped heavy wind since secured post two staples ,Her flailing sign flapped in the heavy wind since it was only secured to the post with two staples.
anna demonstrated flair drama passing daughter announced going college ,Anna demonstrated her flair for drama by passing out when her daughter announced she was not going to college.
the unhappy customer gave george flak long wait time ,The unhappy customer gave George flak for the long wait time.
the flamboyant singer loves wear shimmering suits performing ,The flamboyant singer loves to wear shimmering suits while performing.
the flame hope burns brightly hearts rebels even though plight dire face death every day ,The flame of hope burns brightly in the hearts of the rebels even though their plight is dire and they face death every day.
the flare lighter scared small child flame illuminated face ,The flare from the lighter scared the small child as the flame illuminated her face.
the onehitwonders music career short flash pan ,The one-hit-wonders music career was as short as a flash in the pan.
the first flash fireworks caught surprise ,The first flash of the fireworks caught her by surprise.
we learned main characters childhood long flashback ,We learned about the main characters childhood through a long flashback.
the rap mogul flashy money showed wealth blingedout jewelry expensive cars ,The rap mogul was flashy with his money and showed off his wealth through blinged-out jewelry and expensive cars.
people thought world flat realize round shape ,"People once thought the world was flat, but now realize that it is round in shape."
after actor accused several crimes success began flatline lost fortune ,"After the actor was accused of several crimes, his success began to flatline, and he lost his fortune."
joel requested chef flatten burger since prefers thin meat thick chunks beef ,Joel requested the chef flatten his burger since he prefers thin meat over thick chunks of beef.
the failing student tried use flattery persuade teacher grade number compliments enough convince her ,"The failing student tried to use flattery to persuade his teacher to up his grade, but no number of compliments were enough to convince her."
i major problem flatulence rather embarrassing especially im public ,I have a major problem with flatulence that is rather embarrassing especially when Im in public.
eric loves flaunt flashy clothes thinks super cool ,Eric loves to flaunt his flashy clothes because he thinks that he is super cool.
the diamond flaw perfect every way ,The diamond had no flaw and was perfect in every way.
in darkness night sky star fleck light makes entire thing brighter sheet black ,"In the darkness of the night sky, each star is a fleck of light that makes the entire thing brighter and more than a sheet of black."
the fledgling writer could use benefit good editor ,The fledgling writer could use the benefit of a good editor.
deciding flee warstricken country refugee made plan leave quickly ,"Deciding to flee her war-stricken country, the refugee made a plan to leave quickly."
the fuzzy fleece jacket kept camper warm cold winter night ,The fuzzy fleece jacket kept the camper warm on the cold winter night.
the police fleet raced highway stolen vehicle ,The police fleet raced down the highway after a stolen vehicle.
now daughters fleeting interest ballet passed i longer chauffeur ,"Now that my daughters fleeting interest in ballet has passed, I no longer have to be her chauffeur."
the ballerinas flexibility allowed lots bends turns ,The ballerinas flexibility allowed her to do lots of bends and turns.
if vacation dates flexible get much better deal rigid ,"If your vacation dates are flexible, you can get a much better deal than if you are rigid."
ankle flexion running help strengthen muscles make sprint manageable ,Ankle flexion before running can help strengthen the muscles and make the sprint for more manageable.
driving flexuous road driver made nervous sharp curves abrupt bends ,"Driving down the flexuous road, the driver was made nervous by all of the sharp curves and abrupt bends."
it misfortune stuck next chatty flibbertigibbet bus ride home ,It was my misfortune to be stuck next to a chatty flibbertigibbet during the bus ride home.
nicknamed chatty cathy catherine flibbertigibbet blabbed anyone met ,"Nicknamed Chatty Cathy, Catherine was a flibbertigibbet who blabbed to anyone she met."
as soon began flick spicy food tongue chef realized added entirely much jalapeno ,"As soon as he began to flick the spicy food with his tongue, the chef realized he had added entirely too much jalapeno."
there flicker light candle windowsill due small gust wind moved house ,There was a flicker of light from the candle on the windowsill due to the small gust of wind that moved through the house.
each flier plane required listen speech safety procedures ,Each flier on the plane was required to listen to a speech on safety procedures.
a charter flight carrying opposing soccer team arrived airport earlier today ,A charter flight carrying the opposing soccer team arrived at the airport earlier today.
dont give flimsy excuse deep asleep hear phone ringing ,Dont give me the flimsy excuse that you were too deep asleep to hear the phone ringing.
the young boy would flinch bee buzzed right next ear causing head turn suddenly away bee ,The young boy would flinch when the bee buzzed right next to his ear causing his head to turn suddenly away from the bee.
his attempt fling fishing line across pond ended hook bushes ,His attempt to fling the fishing line across the pond ended with a hook in the bushes.
a leader boy scouts troop 997 quickly showed boys use flint starting fire wilderness ,A leader from the Boy Scouts Troop 997 quickly showed the boys how to use flint in starting a fire in the wilderness.
the man continued grind feet flinty ground attempt get mud shoes ,The man continued to grind his feet against the flinty ground in an attempt to get the mud off of his shoes.
waiting stylist woman began flip book search perfect cut ,"Waiting on her stylist, the woman began to flip through a book in search of the perfect cut."
the unserious workers flippancy caused fired job ,The unserious workers flippancy caused him to be fired from his job.
the students flippant actions towards teacher got suspended school ,The students flippant actions towards the teacher got him suspended from school.
